# Nygaard Kirkwood HullRadSAS SAXS_weights
5.410128143403946765e+00 4.229151248931884766e+00 5.266000000000000014e+00 3.337400000000000268e-05
5.295982358332122608e+00 4.279097080230712891e+00 5.554999999999999716e+00 4.510800000000000248e-05
5.484940027840075061e+00 4.203964233398437500e+00 5.435999999999999943e+00 2.324300000000000091e-05
5.783797940897799528e+00 4.426711559295654297e+00 5.636000000000000121e+00 4.207799999999999930e-05
5.479717196819341218e+00 4.450137615203857422e+00 5.408000000000000362e+00 3.002000000000000057e-05
5.444946288624924691e+00 4.458973407745361328e+00 5.506000000000000227e+00 3.728399999999999743e-05
6.074493595786887745e+00 4.969792842864990234e+00 5.908999999999999808e+00 5.792100000000000330e-05
6.613186886623499738e+00 4.781054973602294922e+00 6.067999999999999616e+00 3.558700000000000334e-05
6.686182109488399306e+00 4.960258007049560547e+00 5.793999999999999595e+00 3.843200000000000067e-05
6.879223204432117988e+00 5.177772045135498047e+00 6.294999999999999929e+00 8.858400000000000432e-05
6.874463706655761897e+00 5.284478187561035156e+00 6.615999999999999659e+00 7.427299999999999853e-05
6.934815431569704813e+00 5.158975124359130859e+00 6.213000000000000078e+00 6.413400000000000632e-05
6.561563479041671698e+00 4.841812133789062500e+00 5.894000000000000128e+00 3.188700000000000150e-05
6.495270110485579451e+00 4.932365417480468750e+00 5.902000000000000135e+00 4.810600000000000325e-05
6.681693997447541555e+00 5.078933238983154297e+00 6.189000000000000057e+00 5.602000000000000236e-05
6.900871212614410055e+00 5.032563209533691406e+00 6.174000000000000377e+00 6.915399999999999553e-05
6.919032307982989849e+00 5.078036785125732422e+00 6.032000000000000028e+00 7.413499999999999409e-05
6.912252092080760413e+00 4.961779117584228516e+00 6.320000000000000284e+00 3.609600000000000135e-05
6.634487852056894397e+00 4.464046001434326172e+00 6.230999999999999872e+00 1.506100000000000030e-05
6.456445732161375517e+00 4.592943191528320312e+00 5.692000000000000171e+00 3.994400000000000245e-05
6.047617014673123848e+00 4.555915832519531250e+00 5.956999999999999851e+00 3.185000000000000168e-05
5.884673585210073554e+00 4.677484512329101562e+00 5.753999999999999559e+00 4.774000000000000032e-05
5.330300720627905164e+00 4.310770034790039062e+00 5.455000000000000071e+00 2.625199999999999870e-05
5.084378789312816060e+00 4.008987903594970703e+00 5.200000000000000178e+00 2.009299999999999888e-05
5.626195563991907456e+00 4.212570667266845703e+00 5.503999999999999559e+00 1.918299999999999912e-05
5.681856147130185164e+00 4.205566883087158203e+00 5.336000000000000298e+00 2.672199999999999928e-05
5.434820892965155359e+00 4.235590934753417969e+00 5.391000000000000014e+00 2.739899999999999974e-05
4.830647374690070883e+00 3.916886091232299805e+00 4.963000000000000078e+00 2.640900000000000075e-05
5.502142258408587949e+00 4.563595294952392578e+00 5.607000000000000206e+00 4.071499999999999897e-05
5.661315349883077275e+00 4.370758533477783203e+00 5.355000000000000426e+00 2.148499999999999843e-05
6.026589654362925152e+00 4.641833782196044922e+00 5.701999999999999957e+00 6.432300000000000062e-05
